input,target
"Update pod 'backend' with the annotation 'owner' and the value 'alice-smith', overwriting any existing value",kubectl annotate --overwrite pods backend owner='alice-smith'
Create a new ExternalName service named external-authentication-service,kubectl create service externalname external-authentication-service --external-name demo-service.dev
Get output from running the 'geth version' command in code-explorer from pod api-service-pod,kubectl exec api-service-pod -c code-explorer -- geth version
Display only the most recent 53 lines of output in pod proxy-service-pod,kubectl logs --tail=53 proxy-service-pod
Get output from running the 'ash' command in mycontainer from pod log-aggregator-pod,kubectl exec log-aggregator-pod -c mycontainer -- ash
Return snapshot logs from container order-processing-deployment-1 of a deployment named email-service-pod,kubectl logs deployment/order-processing-deployment -c email-service-pod-1
List a single pod in JSON output format,kubectl get -o json pod api-service-pod
Start a wordpress pod and let the container expose port 9091,kubectl run hazelcast --image=wordpress --port=9091
"Listen on port 5432 on all addresses, forwarding to 9090 in the pod",kubectl port-forward --address 0.0.0.0 pod/mypod 5432:9090
Set the resource request and limits for all containers in jenkins,"kubectl set resources deployment jenkins --limits=cpu=200m,memory=512Mi --requests=cpu=200m,memory=1Gi"
Create a new secret named jwt-secret with specified keys instead of names on disk,kubectl create secret generic jwt-secret --from-file=ssh-privatekey=path/to/id_rsa --from-file=ssh-publickey=path/to/id_rsa.pub
Import environment from a secret,kubectl set env --from=secret/encryption-key-secret deployment/backend-microservice-deployment
"Update node 'dev-node-4' with a taint with key 'environment' and value 'production' and effect 'NoSchedule' # If a taint with that key and effect already exists, its value is replaced as specified",kubectl taint nodes dev-node-4 environment=production:NoSchedule
Return snapshot of previous terminated astro-container container logs from pod vpn-service-pod,kubectl logs -p -c astro-container vpn-service-pod
List one or more resources by their type and names,kubectl get rc/web service/database-rc pods/payment-gateway-pod
"Listen on port 5432 locally, forwarding to 9090 in the pod",kubectl port-forward pod/log-aggregator-pod 5432:9090
Add a taint with key 'disktype' on nodes having label instance=app-instance-1,kubectl taint node -l instance=app-instance-1  disktype=node-1:PreferNoSchedule
"Create a cluster role binding for admin, devops-user, and operations-team using the bar cluster role",kubectl create clusterrolebinding bar --clusterrole=bar --user=admin --user=devops-user --group=operations-team
Return snapshot of previous terminated cyber-sleuth container logs from pod api-service-pod,kubectl logs -p -c cyber-sleuth api-service-pod
Display only the most recent 43 lines of output in pod analytics-pod,kubectl logs --tail=43 analytics-pod
Set custom TLS server name to use for validation for the kube-cluster-1 cluster entry,kubectl config set-cluster kube-cluster-1 --tls-server-name=cluster-alpha
Create a new ClusterIP service named auth-service-clusterip,kubectl create service clusterip auth-service-clusterip --tcp=3001:6379
Import environment from a secret,kubectl set env --from=secret/my-secret deployment/analytics-platform-deployment
Begin streaming the logs of the nano-bot container in pod proxy-server-pod,kubectl logs -f -c nano-bot proxy-server-pod
Begin streaming the logs of the ruby container in pod security-service-pod,kubectl logs -f -c ruby security-service-pod
"Listen on port 8088 locally, forwarding to 8888 in the pod",kubectl port-forward pod/mypod 8088:8888
"List deployments in JSON output format, in the ""custom-version"" version of the ""extensions"" API group",kubectl get deployments.custom-version.extensions -o json
"Listen on port 8081 on localhost and selected IP, forwarding to 8000 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/chat-app-pod 8081:8000"
"Get output from running 'irb' command from the first pod of the service order-service, using the first container by default",kubectl exec svc/order-service -- irb
"Get output from running 'elasticsearch' command from the first pod of the deployment load-balancer-deployment, using the first container by default",kubectl exec deploy/load-balancer-deployment -- elasticsearch
Create a job with a command,kubectl create job data-migration-job --image=confluentinc/cp-kafka -- kafka-server-start /etc/kafka/server.properties
Update pod 'cdn' by removing a label named 'bar' if it exists # Does not require the --overwrite flag,kubectl label pods cdn tier-
Display only the most recent 53 lines of output in pod database-pod,kubectl logs --tail=53 database-pod
Set custom TLS server name to use for validation for the app-cluster cluster entry,kubectl config set-cluster app-cluster --tls-server-name=cluster-gamma
Import environment from a config map with a prefix,kubectl set env --from=configmap/app-settings --prefix=MYSQL_ deployment/analytics-platform-deployment
"If the deployment named bar's current size is 5, scale mysql to 7",kubectl scale --current-replicas=5 --replicas=7 deployment/bar
Create a new namespace named testing,kubectl create namespace testing
"Partially update a node using a strategic merge patch, specifying the patch as JSON","kubectl patch node edge-node-10 -p '{""spec"":{""replicas"":3}'"
"List deployments in JSON output format, in the ""alpha-2.0"" version of the ""extensions"" API group",kubectl get deployments.alpha-2.0.extensions -o json
"Listen on ports 8000 and 6000 locally, forwarding data to/from ports 8000 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/search-engine-deployment 8000 8000
Add a taint with key 'datacenter' on nodes having label tier=frontend,kubectl taint node -l tier=frontend  datacenter=kube-master-9:PreferNoSchedule
List one or more resources by their type and names,kubectl get rc/web service/proxy-service-rc pods/e-commerce-pod
Get output from running the 'postgres' command in rocket-ranger from pod email-service-pod,kubectl exec email-service-pod -c rocket-ranger -- postgres
"Partially update a node using a strategic merge patch, specifying the patch as JSON","kubectl patch node node-1 -p '{""spec"":{""someField"":""newValue""}'"
Create a new secret named ssh-key-secret with keys for each file in folder bar,kubectl create secret generic ssh-key-secret --from-file=path/to/parameters
"Listen on port 5000 locally, forwarding to 8080 in the pod",kubectl port-forward pod/chat-app-pod 5000:8080
List a single pod in YAML output format,kubectl get -o yaml pod frontend-pod
Set the cluster field in the my-context context to star-cluster,kubectl config set contexts.app-2-context.cluster star-cluster
"Auto scale a replication controller ""email"", with the number of pods between 1 and 2, target CPU utilization at 50%",kubectl autoscale rc email --max=2 --cpu-percent=50
"Describe a pod identified by type and name in ""settings.json""",kubectl describe -f settings.json
"List deployments in YAML output format, in the ""rc-1.1.0"" version of the ""beta-apps"" API group",kubectl get deployments.rc-1.1.0.beta-apps -o yaml
"Create a service for an ubuntu deployment, which serves on port 80 and connects to the containers on port 8000",kubectl expose deployment ubuntu --port=3001 --target-port=808900
"Create a cluster role named ""default_role"" with ResourceName specified",kubectl create clusterrole default_role --verb=exec --resource=services --resource-name=monitoring-prometheus --resource-name=image-processor
"Listen on port 8081 locally, forwarding to 8081 in the pod",kubectl port-forward pod/chat-app-pod 8081:8081
Get output from astro-container from pod media-stream-pod,kubectl attach media-stream-pod -c astro-container
"Listen on port 5432 locally, forwarding to 8888 in the pod",kubectl port-forward pod/backend-pod 5432:8888
Get the password for the staging-cluster user,"kubectl config view -o jsonpath='{.users[?(@.name == ""staging-cluster"")].user.password}'"
Get output from running the 'php --version' command in nano-bot from pod proxy-service-pod,kubectl exec proxy-service-pod -c nano-bot -- php --version
Copy /tmp/foo from a remote pod to /etc/kubernetes locally,kubectl cp kube-proxy/worker-pod-4:/tmp/foo /etc/kubernetes
"Partially update a node using a strategic merge patch, specifying the patch as YAML",kubectl patch node k8s-node-1 -p $'stringData:\n password: new-password'
Get output from running the 'python' command in warp-drive from pod chat-app-pod,kubectl exec chat-app-pod -c warp-drive -- python
"Listen on ports 8888 and 6000 locally, forwarding data to/from ports 8081 and 6000 in the pod",kubectl port-forward pod/api-service-pod 8888 8081
Import specific keys from a config map,kubectl set env --keys=max_connections --from=configmap/kube-system-config deployment/cache-cluster-deployment
Create a new config map named env-vars with specified keys instead of file basenames on disk,kubectl create configmap env-vars --from-file=conf=/path/to/preferences/file1.txt --from-file=data=/path/to/preferences/file2.txt
"Delete pods and services with same names ""gateway"" and ""vpn""","kubectl delete pod,service gateway vpn"
"Listen on port 5000 on localhost and selected IP, forwarding to 8000 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/web-app-pod 5000:8000"
Start a node pod and let the container expose port 7000,kubectl run hazelcast --image=node --port=7000
Create a new secret named tls-certificate-secret from an env file,kubectl create secret generic tls-certificate-secret --from-env-file=path/to/configurations.env
Embed certificate authority data for the cluster-beta cluster entry,kubectl config set-cluster cluster-beta --embed-certs --certificate-authority=~/.kube/app-cluster/kubernetes.ca.crt
"If the deployment named backend-service-replicaset's current size is 7, scale mysql to 5",kubectl scale --current-replicas=7 --replicas=5 deployment/backend-service-replicaset
